scenario,method,path_cost,path_len,constraint_rate,planning_ms,plan_ms,init_ms,infer_ms,smooth_ms,sim_ms,total_ms,timing_info,timing_info_json,cold_start,warm_start,warmup_excluded,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,default_edges,coverage,time_s,sumo_time,total_edges,status,failed,failure_reason,parse_failed,parse_failure_reason,fallback_status
场景E 不对称方向拥堵（测试模型方向提取能力）,Qwen-LoRA★,3.3,5,36.4,0.02,0.02,0.0,19260.01,0.0,1975.43,21235.47,"{'init_ms': 0.0, 'infer_ms': 19260.01, 'smooth_ms': 0.0, 'total_ms': 21235.47, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 19260.01, ""smooth_ms"": 0.0, ""total_ms"": 21235.47, ""cold_start"": false}",False,True,True,96,100.0,67,69.8,29,69.8,19.26,773.7,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,LoRA+GAT★★,4.61,5,36.4,0.02,0.02,0.0,19210.43,0.0,2034.77,21245.23,"{'init_ms': 0.0, 'infer_ms': 19210.43, 'smooth_ms': 0.0, 'total_ms': 21245.23, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 19210.43, ""smooth_ms"": 0.0, ""total_ms"": 21245.23, ""cold_start"": false}",False,True,True,96,100.0,84,87.5,12,87.5,19.21,773.7,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,R1-Raw,10.0,5,36.4,0.06,0.06,0.0,24688.81,0.0,2012.69,26701.56,"{'init_ms': 0.0, 'infer_ms': 24688.81, 'smooth_ms': 0.0, 'total_ms': 26701.56, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 24688.81, ""smooth_ms"": 0.0, ""total_ms"": 26701.56, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,24.69,773.7,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,R1-LoRA★,10.0,5,36.4,0.06,0.06,0.0,49754.03,0.0,2064.59,51818.68,"{'init_ms': 0.0, 'infer_ms': 49754.03, 'smooth_ms': 0.0, 'total_ms': 51818.68, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 49754.03, ""smooth_ms"": 0.0, ""total_ms"": 51818.68, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,49.75,773.7,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,Sparse-LoRA★★,18.5,6,72.7,0.07,0.07,0.0,1357.02,0.0,1762.48,3119.58,"{'init_ms': 0.0, 'infer_ms': 1357.02, 'smooth_ms': 0.0, 'total_ms': 3119.58, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1357.02, ""smooth_ms"": 0.0, ""total_ms"": 3119.58, ""cold_start"": false}",False,True,True,12,12.5,12,12.5,84,12.5,1.36,394.1,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,Sparse-LoRA+GAT★★★,19.58,6,72.7,0.07,0.07,0.0,1346.9,0.0,1829.13,3176.1,"{'init_ms': 0.0, 'infer_ms': 1346.9, 'smooth_ms': 0.0, 'total_ms': 3176.1, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1346.9, ""smooth_ms"": 0.0, ""total_ms"": 3176.1, ""cold_start"": false}",False,True,True,12,12.5,78,81.2,18,81.2,1.35,394.1,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,Dijkstra,8.0,8,21.4,0.08,0.08,0.0,0.0,0.0,1880.18,1880.25,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1880.25, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1880.25, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,446.5,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,Rule-A*,12.8,8,21.4,0.09,0.09,0.0,0.0,0.0,1851.02,1851.11,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1851.11, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1851.11, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,446.5,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,DQN,15.8,10,21.4,0.07,0.07,0.0,0.0,0.0,2131.21,2131.28,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2131.28, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2131.28, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,529.7,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,GCN-Weight,15.95,8,21.4,0.08,0.08,0.0,0.0,0.0,2005.3,2005.37,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2005.37, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2005.37, ""cold_start"": false}",False,True,True,96,100.0,68,70.8,28,70.8,0.0,682.2,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,Raw-Qwen,16.0,8,21.4,0.08,0.08,0.0,11775.82,0.0,1856.31,13632.21,"{'init_ms': 0.0, 'infer_ms': 11775.82, 'smooth_ms': 0.0, 'total_ms': 13632.21, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 11775.82, ""smooth_ms"": 0.0, ""total_ms"": 13632.21, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,11.78,446.5,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,CoT-Qwen,16.0,8,28.6,0.08,0.08,0.0,5370.07,0.0,1793.09,7163.23,"{'init_ms': 0.0, 'infer_ms': 5370.07, 'smooth_ms': 0.0, 'total_ms': 7163.23, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 5370.07, ""smooth_ms"": 0.0, ""total_ms"": 7163.23, ""cold_start"": false}",False,True,True,3,3.1,3,3.1,93,3.1,5.37,446.5,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,Qwen-LoRA★,16.0,8,21.4,0.08,0.08,0.0,12991.5,0.0,1811.42,14803.0,"{'init_ms': 0.0, 'infer_ms': 12991.5, 'smooth_ms': 0.0, 'total_ms': 14803.0, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 12991.5, ""smooth_ms"": 0.0, ""total_ms"": 14803.0, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,12.99,446.5,96,parse_failed_default_2.0,False,,True,parser returned no valid edge weights; fallback to default 2.0,parse_failed_default_2.0
场景F 大规模复合灾害（极限压力测试）,LoRA+GAT★★,16.27,8,21.4,0.08,0.08,0.0,13018.86,0.0,1797.36,14816.31,"{'init_ms': 0.0, 'infer_ms': 13018.86, 'smooth_ms': 0.0, 'total_ms': 14816.31, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 13018.86, ""smooth_ms"": 0.0, ""total_ms"": 14816.31, ""cold_start"": false}",False,True,True,0,0.0,40,41.7,56,41.7,13.02,446.5,96,parse_failed_default_2.0,False,,True,parser returned no valid edge weights; fallback to default 2.0,parse_failed_default_2.0
场景F 大规模复合灾害（极限压力测试）,R1-Raw,45.5,9,57.1,0.07,0.07,0.0,28667.8,0.0,1881.55,30549.42,"{'init_ms': 0.0, 'infer_ms': 28667.8, 'smooth_ms': 0.0, 'total_ms': 30549.42, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 28667.8, ""smooth_ms"": 0.0, ""total_ms"": 30549.42, ""cold_start"": false}",False,True,True,89,92.7,89,92.7,7,92.7,28.67,618.3,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,R1-LoRA★,38.1,8,50.0,0.08,0.08,0.0,27277.18,0.0,1817.22,29094.48,"{'init_ms': 0.0, 'infer_ms': 27277.18, 'smooth_ms': 0.0, 'total_ms': 29094.48, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 27277.18, ""smooth_ms"": 0.0, ""total_ms"": 29094.48, ""cold_start"": false}",False,True,True,95,99.0,95,99.0,1,99.0,27.28,496.1,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,Sparse-LoRA★★,9.2,8,21.4,0.08,0.08,0.0,1824.13,0.0,1797.85,3622.06,"{'init_ms': 0.0, 'infer_ms': 1824.13, 'smooth_ms': 0.0, 'total_ms': 3622.06, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1824.13, ""smooth_ms"": 0.0, ""total_ms"": 3622.06, ""cold_start"": false}",False,True,True,4,4.2,4,4.2,92,4.2,1.82,446.5,96,ok,False,,False,,ok
场景F 大规模复合灾害（极限压力测试）,Sparse-LoRA+GAT★★★,10.15,8,21.4,0.08,0.08,0.0,1825.07,0.0,1791.64,3616.79,"{'init_ms': 0.0, 'infer_ms': 1825.07, 'smooth_ms': 0.0, 'total_ms': 3616.79, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1825.07, ""smooth_ms"": 0.0, ""total_ms"": 3616.79, ""cold_start"": false}",False,True,True,4,4.2,44,45.8,52,45.8,1.83,446.5,96,ok,False,,False,,ok
