scenario,preset_id,scene_profile,method,start_edge,end_edge,travel_time_s,time_loss_s,waiting_time_s,stop_count,vehicle_arrived,simulation_truncated,completion_status,planning_time_s,model_infer_time_s,route_solve_time_s,constraint_rate,signal_ratio,signal_edges,parsed_edges,parsed_edge_ratio,default_edges,path_len,path_cost,simulation_seed,warmup_seconds,evaluation_start_time,evaluation_end_time,scene_profile_version,use_gat,model_path,protocol_snapshot_json,notes
场景A 黄河路单向拥堵,A,simple_local,Sparse-LoRA,R3C0_E,R3C4_E,318.6,101.32,81.4,3,True,False,arrived,1.07813,1.077991,0.000138,50.0,1.0,1,1,1.0,95,4,250.76585,111,180,180,2100,sha256:012f7472d50a,False,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",model_merged_sparse_v2_stage4_fix 主链路，A* + live SUMO。
场景E 方向不对称拥堵,E,directional_asymmetry,Sparse-LoRA,R4C0_E,R4C4_E,1335.4,913.44,900.3,3,True,False,arrived,1.442802,1.442629,0.000173,85.71,8.3,8,8,8.3,88,6,327.206971,202,180,180,2100,sha256:012f7472d50a,False,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",model_merged_sparse_v2_stage4_fix 主链路，A* + live SUMO。
场景D 中央核心节点封锁,D,core_blockage,Sparse-LoRA,R0C0_E,R4C3_E,1511.0,1215.0,1200.4,4,True,False,arrived,1.875352,1.875119,0.000232,37.5,25.0,24,24,25.0,72,7,668.102323,303,240,240,2400,sha256:012f7472d50a,False,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",model_merged_sparse_v2_stage4_fix 主链路，A* + live SUMO。
场景G 传播范围外溢,G,propagation_range,Sparse-LoRA,R0C0_E,C4R3_N,1780.2,1516.31,1500.5,5,True,False,arrived,1.085775,1.085524,0.000251,66.67,3.1,3,3,3.1,93,7,295.321121,404,240,240,2400,sha256:012f7472d50a,False,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 45, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",model_merged_sparse_v2_stage4_fix 主链路，A* + live SUMO。
场景C 多路段复合拥堵,C,compound_disaster,Sparse-LoRA,R0C0_E,R3C4_E,2400.1,2152.47,2113.2,9,False,True,truncated_at_evaluation_end,1.429404,1.429158,0.000246,63.64,13.5,13,13,13.5,83,7,295.321121,505,300,300,2700,sha256:012f7472d50a,False,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 2700, ""evaluation_start_time"": 300, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 30, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [300, 300], ""warmup_seconds"": 300}",model_merged_sparse_v2_stage4_fix 主链路，A* + live SUMO。
场景N normal_baseline 正常通行,N,normal_baseline,Sparse-LoRA+GAT,R3C0_E,R3C4_E,198.7,40.18,23.5,2,True,False,arrived,0.71992,0.719778,0.000142,100.0,100.0,96,0,0.0,0,4,173.399432,101,120,120,1800,sha256:012f7472d50a,True,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 1800, ""evaluation_start_time"": 120, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [120, 120], ""warmup_seconds"": 120}",Exploratory graph-smoothing extension; not used as the frozen mainline method.
场景A 黄河路单向拥堵,A,simple_local,Sparse-LoRA+GAT,R3C0_E,R3C4_E,318.6,101.32,81.4,3,True,False,arrived,1.104785,1.104648,0.000137,50.0,100.0,96,1,1.0,0,4,252.387271,111,180,180,2100,sha256:012f7472d50a,True,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",Exploratory graph-smoothing extension; not used as the frozen mainline method.
场景E 方向不对称拥堵,E,directional_asymmetry,Sparse-LoRA+GAT,R4C0_E,R4C4_E,1335.4,913.44,900.3,3,True,False,arrived,1.438498,1.438322,0.000176,85.71,100.0,96,8,8.3,0,6,329.768539,202,180,180,2100,sha256:012f7472d50a,True,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",Exploratory graph-smoothing extension; not used as the frozen mainline method.
场景D 中央核心节点封锁,D,core_blockage,Sparse-LoRA+GAT,R0C0_E,R4C3_E,1511.0,1215.0,1200.4,4,True,False,arrived,1.862303,1.862072,0.000231,37.5,100.0,96,24,25.0,0,7,670.826258,303,240,240,2400,sha256:012f7472d50a,True,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",Exploratory graph-smoothing extension; not used as the frozen mainline method.
场景G 传播范围外溢,G,propagation_range,Sparse-LoRA+GAT,R0C0_E,C4R3_N,1780.2,1516.31,1500.5,5,True,False,arrived,1.091276,1.091001,0.000275,66.67,100.0,96,3,3.1,0,7,298.953264,404,240,240,2400,sha256:012f7472d50a,True,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 45, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",Exploratory graph-smoothing extension; not used as the frozen mainline method.
场景C 多路段复合拥堵,C,compound_disaster,Sparse-LoRA+GAT,R0C0_E,R3C4_E,2400.1,2152.47,2113.2,9,False,True,truncated_at_evaluation_end,1.389184,1.388938,0.000246,63.64,100.0,96,13,13.5,0,7,298.586034,505,300,300,2700,sha256:012f7472d50a,True,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 2700, ""evaluation_start_time"": 300, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 30, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [300, 300], ""warmup_seconds"": 300}",Exploratory graph-smoothing extension; not used as the frozen mainline method.
